content,intensity
never hurt love lot hurt back probably choice leave ever,2
expect wrong figure ready correct itcos know mistake,2
preferred walking away fighting worth fighting never asked stay,2
moving ward life hard leaving move ward,2
never cry life cry deserve tear deserving never let cry,2
billion planet friend,2
know come back heart take life long time accept,2
habit talk daily talking feel like year passed,2
value person alive cry dead,2
magic song sound happy listen song sad underst song,2
every flirty boy left reason,2
get tired loving get tired waiting assuming hearing lie saying sorry getting hurt,2
hardest watch person love love else,2
never stop caring decide push away,2
hurt heart arm,2
show true feeling find way hurt,2
amazing break heart love little broken piece,2
tunate life tragedy,2
country isls sea billion single,2
sad realize important,2
battle fought alsome path crossed never emotionally attached never know walk,2
keep smiling life become tired upsetting,2
never become daughter house mor,2
biggest mistake ever made expecting happiness,2
person topped inbox flash may know,2
everybodys online except actually want,2
take word seriously break heart find actually say,2
sad moment realize childhood,2
life seems running road shelter sign board destination,2
voice medicine disease,2
worst feeling world knowing longer important,2
eassy say bussy need hard hear bussy need,2
realise lly end bunch talk listen,2
smile every never underst,2
matter hard try matter relationship get never replace lost,2
remember way used look notice way ignore,2
painful goodbye never said never explained,2
never expect happen better feel surprised feel disappointed,2
underst cry,2
itt song make emotional come mind hear,2
hate went stranger friend close friend almost sum,2
know,2
make best couple dad always create trouble,2
single wish would back moment kissed,2
sadness last seen change online last seen reply,2
distance solution reduce complication want maintain distance eternity,2
tear last gift true love,2
tired making fake smile,2
want get,2
funny ing lot brave yet choose offer half could,2
silence better talking least hurt,2
feeling walk away,2
silence powerful scream,2
important moving letting,2
die tomorrow miss,2
cry person know value tear,2
problem,2
please interrupt ignoring,2
missing hurt hurt knowing reason,2
get appreciation nice notice become bad,2
bad talking quiet really worry,2
know person heart way treat pet,2
would easier dissapearsave every trouble,2
wondering long time,2
break heart piece knowing get remember ever,2
bruise away tually pain caused memory happened,2
worst feeling world know love toger,2
may smile may laugh deep heart pain never guess,2
fine look mirror laugh cry know lie,2
talk make better make heart break every,2
surrounded love yet alwhy reli,2
emotionallyi dmentallyi drainedspirituallyi dead yet physicallyi smile,2
crop picture took toger never crop memory shd,2
worst happen person gotten never get,2
relationship make better person wrong person,2
better far get smile remember sad,2
mostly scar see hurt also take longest heal,2
wish could escape place feeling able haunt,2
took seeing life like know want sorry ever hurting,2
every time take step ward life get pushed two step backam walking backwards,2
say powerful say,2
smile cry night hoping pain away,2
finally happy want break cry deserve,2
hold back tear hide smile hide hole heart,2
may realise lost diamond busy collecting sts,2
love best feeling world heart hurt,2
like pretend okay want annoy problem,2
always tear measure pain smile fake,2
going smoothly could get better devil jump screw every,2
guess say true every happens reason,2
longer want stay way,2
funny look hurt,2
action bee blinded eye voice fall deafened ear,2
surrounded love yet alwhy,2
dont sad smile happened,2
smiling life perfect,2
life perfect kful every,2
sad moment find old conversation talk anymore,2
single moment misundersting poisonous make get hundred lovable moment spent toger minute,2
trust kill,2
weakness,2
trust friend every,2
knw blocked love watch blank profile,2
afraid happy ever get happy bad always happens,2
push away promise find left heart big big enough deal decide love convenient,2
lie lie matter big small,2
tear last gift true love,2
feel good sit relax talk,2
sorry good enough tried,2
sorry heart listening brain time know better,2
really else never,2
never hurt lie,2
expectation break relation,2
say okay want look eye hug tight say know,2
feel like every wrong,2
two fall realize need fall back toger,2
smile face life perfect,2
sad happy,2
hope meet,2
moment life word,2
switch feeling person,2
really mine really toger worth always sweetest ever,2
feel getting,2
loyal always seems like loyal wrong,2
regret past regret time wasted wrong,2
sadly way learn appreciate losing,2
hate hate,2
seriously boy underst little word move affect,2
truth waiting till,2
outside smiling happy,2
bad relationship change good,2
every time trust somebody show,2
change way made feel never,2
miss died miss moved away worst miss see every,2
every acting like okay never know truth,2
like listen sad music sad make double sad,2
promise happy reply angry decide sad,2
heart made broken,2
feel crappy insidelike broke,2
heart got issue know hate miss,2
worst mistake walking away person actually stood waited,2
wait till get realize get,2
changed truth never really knew real,2
real feeling away,2
afraid lose mine,2
lost somebody mine,2
smile hold back tear,2
say follow heart way heart break two,2
word fail tear speak,2
boyfriend treat like princess like bitch,2
hate fact never got better,2
smile see broken inside,2
finally see biggest mistake loving,2
hate jealous know,2
love fact million apology bring back,2
know stop hoping,2
wish dream,2
sad never talk used talk every,2
hard get shd memory,2
sadness come bad circumstance come bad,2
play heart intention serious relationship,2
find prettier smarter funnier never find like,2
texting first ignoring reply,2
need hold,2
ever loved way every want loved,2
funny person hurt expecting first place,2
fell catch,2
matter try get always,2
precious trophy best game played,2
relationship like glass better leave broken hurt trying put back toger,2
blame leaving blame right keep,2
give way look never used,2
memory reason move,2
hope hold pain end,2
book available onhow love single book available onhow get truely loveable,2
mouth say finger text fine heart say broken,2
promise break memory break,2
wish could give pain underst hurt,2
always toger far far away,2
afraid lose mine,2
apology fix broken heart,2
painful goodbye never said heart already know,2
truth hate try,2
fault,2
know name story,2
act like inside ever,2
lie end relationship truth,2
know chance somehow stop trying,2
